Products and product groups,time,cpi
Shelter,Jul-16,136
Shelter,Aug-16,136.2
Shelter,Sep-16,136.2
Shelter,Oct-16,136.9
Shelter,Nov-16,137.2
Shelter,Dec-16,137.3
Shelter,Jan-17,137.8
Shelter,Feb-17,137.6
Shelter,Mar-17,137.7
Shelter,Apr-17,137.9
Shelter,May-17,137.7
Shelter,Jun-17,137.8
Shelter,Jul-17,137.7
Shelter,Aug-17,138
Shelter,Sep-17,138.1
Shelter,Oct-17,138.6
Shelter,Nov-17,138.9
Shelter,Dec-17,139.2
Shelter,Jan-18,139.7
Shelter,Feb-18,140
Shelter,Mar-18,140
Shelter,Apr-18,140.3
Shelter,May-18,140.4
Shelter,Jun-18,140.5
Shelter,Jul-18,141
Shelter,Aug-18,141.2
Shelter,Sep-18,141.5
Shelter,Oct-18,142
Shelter,Nov-18,142.3
Shelter,Dec-18,142.3
Shelter,Jan-19,143
Shelter,Feb-19,143.4
Shelter,Mar-19,143.8
Shelter,Apr-19,144.1
Shelter,May-19,144.2
Shelter,Jun-19,144
Shelter,Jul-19,144.3
Shelter,Aug-19,144.6
Shelter,Sep-19,144.8
Shelter,Oct-19,145.7
Shelter,Nov-19,145.9
Shelter,Dec-19,146.3
Shelter,Jan-20,146.4
Shelter,Feb-20,146.7
Shelter,Mar-20,146.5
Shelter,Apr-20,146
Shelter,May-20,145.6
Shelter,Jun-20,146.4
Shelter,Jul-20,146.4
Shelter,Aug-20,146.8
Shelter,Sep-20,147.3
Shelter,Oct-20,148.3
Shelter,Nov-20,148.7
Shelter,Dec-20,148.7
Shelter,Jan-21,148.4
Shelter,Feb-21,148.8
Shelter,Mar-21,150
Shelter,Apr-21,150.7
Shelter,May-21,151.7
Shelter,Jun-21,152.8
Shelter,Jul-21,153.5
Shelter,Aug-21,153.9
Shelter,Sep-21,154.4
Shelter,Oct-21,155.4
Shelter,Nov-21,155.9
Shelter,Dec-21,156.8
Shelter,Jan-22,157.6
Shelter,Feb-22,158.6
Shelter,Mar-22,160.2
